"Brand","Count"
"Abarth",2
"Aiways",2
"Audi",18
"BMW",15
"BYD",8
"Citroen",15
"CUPRA",5
"Dacia",2
"DS",1
"e.Go",1
"Elaris",1
"Fiat",11
"Fisker",4
"Ford",5
"Genesis",5
"Honda",2
"Hongqi",2
"Hyundai",11
"Jaguar",1
"Jeep",1
"Kia",10
"Lexus",2
"Lotus",2
"Lucid",5
"Maserati",2
"Maxus",1
"Mazda",1
"Mercedes",45
"MG",10
"Mini",6
"NIO",10
"Nissan",7
"Opel",16
"ORA",3
"Peugeot",20
"Polestar",8
"Porsche",18
"Renault",7
"Rolls-Royce",1
"Seres",1
"Skoda",8
"Smart",6
"SsangYong",1
"Subaru",1
"Tesla",10
"Toyota",10
"VinFast",3
"Volkswagen",11
"Volvo",12
"XPENG",6
"Zeekr",5
