"id","km3_cluster"
1,2
2,1
3,1
4,1
5,2
6,1
7,1
8,1
9,1
10,1
11,2
12,1
13,1
14,1
15,2
16,1
17,2
18,1
19,1
20,2
21,2
22,1
23,1
24,3
25,2
26,2
27,1
28,1
29,2
30,1
31,1
32,1
33,2
34,1
35,2
36,2
37,1
38,1
39,1
40,1
41,1
42,1
43,2
44,1
45,2
46,1
47,1
48,1
49,1
50,2
51,2
52,2
53,1
54,1
55,1
56,1
57,1
58,2
59,1
60,2
61,1
62,1
63,1
64,1
65,1
66,2
67,2
68,1
69,1
70,1
71,1
72,1
73,1
74,1
75,2
76,2
77,1
78,2
79,1
80,2
81,2
82,2
83,1
84,1
85,1
86,1
87,2
88,1
89,2
90,1
91,2
92,1
93,2
94,1
95,2
96,1
97,1
98,1
99,2
100,1
101,1
102,1
103,2
104,1
105,1
106,1
107,1
108,2
109,3
110,1
111,2
112,2
113,1
114,1
115,1
116,1
117,2
118,1
119,1
120,1
121,1
122,2
123,1
124,1
125,1
126,2
127,1
128,1
129,2
130,2
131,1
132,3
133,2
134,1
135,1
136,2
137,2
138,1
139,1
140,1
141,2
142,1
143,1
144,1
145,2
146,1
147,2
148,2
149,1
150,2
151,1
152,1
153,2
154,1
155,1
156,1
157,1
158,1
159,1
160,1
161,2
162,2
163,1
164,1
165,1
166,1
167,2
168,3
169,1
170,1
171,1
172,1
173,2
174,1
175,1
176,2
177,2
178,2
179,2
180,2
181,1
182,1
183,2
184,1
185,1
186,1
187,2
188,3
189,3
190,2
191,2
192,1
193,1
194,2
195,1
196,2
197,2
198,2
199,3
200,2
201,2
202,1
203,2
204,2
205,2
206,1
207,3
208,1
209,2
210,2
211,1
212,1
213,1
214,2
215,1
216,2
217,1
218,2
219,1
220,1
221,2
222,1
223,2
224,2
225,3
226,2
227,2
228,2
229,2
230,1
231,2
232,2
233,3
234,1
235,2
236,2
237,1
238,1
239,3
240,1
241,2
242,3
243,3
244,2
245,2
246,2
247,1
248,3
249,1
250,2
251,3
252,1
253,3
254,1
255,3
256,3
257,2
258,3
259,2
260,3
261,3
262,3
263,2
264,2
265,2
266,2
267,3
268,3
269,3
270,1
271,2
272,3
273,1
274,3
275,3
276,2
277,2
278,3
279,3
280,3
281,2
282,3
283,1
284,2
285,2
286,3
287,3
288,3
289,3
290,2
291,3
292,2
293,3
294,3
295,3
296,3
297,2
298,3
299,3
300,3
301,3
302,3
303,3
304,3
305,3
306,3
307,3
